date_time	B.1	B.1.1	B.1.1.7	B.1.351	B.1.393	B.1.525	B.1.617.1	B.1.617.2	Other	source
"2021-01-27T00:00:00.000Z"	0.08148148148148149	0.20740740740740743	0.07407407407407408	0	0	0	0	0	0.6370370370370371	
"2021-01-28T00:00:00.000Z"	0.0909090909090909	0.1818181818181818	0.07575757575757576	0	0	0	0	0	0.6515151515151515	
"2021-01-29T00:00:00.000Z"	0.09322033898305085	0.1694915254237288	0.0423728813559322	0	0	0	0.00847457627118644	0	0.6864406779661016	
"2021-01-30T00:00:00.000Z"	0.08547008547008547	0.1794871794871795	0.034188034188034185	0	0	0	0.042735042735042736	0	0.6581196581196581	
"2021-01-31T00:00:00.000Z"	0.0813008130081301	0.17073170731707318	0.04065040650406505	0	0	0	0.04065040650406505	0	0.6666666666666667	
"2021-02-01T00:00:00.000Z"	0.07086614173228348	0.14173228346456695	0.047244094488188976	0	0	0	0.03937007874015748	0	0.7007874015748031	
"2021-02-02T00:00:00.000Z"	0.06944444444444445	0.11805555555555555	0.034722222222222224	0.034722222222222224	0	0	0.11111111111111112	0	0.6319444444444445	
"2021-02-03T00:00:00.000Z"	0.11428571428571428	0.08095238095238094	0.019047619047619046	0.02380952380952381	0	0	0.10476190476190476	0	0.6571428571428571	
"2021-02-04T00:00:00.000Z"	0.11353711790393013	0.08733624454148471	0.048034934497816595	0.021834061135371178	0	0	0.10480349344978165	0.017467248908296942	0.6069868995633187	
"2021-02-05T00:00:00.000Z"	0.12000000000000002	0.09333333333333335	0.04888888888888889	0.022222222222222227	0	0	0.10222222222222223	0.017777777777777778	0.5955555555555556	
"2021-02-06T00:00:00.000Z"	0.12371134020618556	0.07560137457044673	0.05154639175257731	0.017182130584192438	0	0	0.07560137457044673	0.017182130584192438	0.6391752577319587	
"2021-02-07T00:00:00.000Z"	0.12286689419795221	0.0750853242320819	0.0477815699658703	0.01706484641638225	0	0	0.0819112627986348	0.01706484641638225	0.6382252559726962	
"2021-02-08T00:00:00.000Z"	0.12	0.07999999999999999	0.06	0.016666666666666666	0	0	0.08666666666666666	0.016666666666666666	0.62	
"2021-02-09T00:00:00.000Z"	0.12587412587412586	0.0804195804195804	0.06993006993006992	0	0	0	0.05244755244755244	0.01748251748251748	0.6538461538461539	
