rr,decline,imp,lik
1.7,0.025,1.8000000000000003,-1512.925568594162
1.75,0.025,1.8000000000000003,-1856.5441071988155
1.7999999999999998,0.025,1.8000000000000003,-2703.8481290265318
1.4,0.03,1.8000000000000003,-889.2617211074748
1.45,0.03,1.8000000000000003,-774.7652537935144
1.5,0.03,1.8000000000000003,-757.2382996462209
1.5499999999999998,0.03,1.8000000000000003,-775.3499293886534
1.5999999999999999,0.03,1.8000000000000003,-818.4862458130206
1.65,0.03,1.8000000000000003,-1014.7445636495585
1.7,0.03,1.8000000000000003,-1304.8394928678576
1.75,0.03,1.8000000000000003,-1439.8763984645973
1.7999999999999998,0.03,1.8000000000000003,-2057.7647481071217
1.4,0.035,1.8000000000000003,-1155.5808097896518
1.45,0.035,1.8000000000000003,-1010.992744203509
1.5,0.035,1.8000000000000003,-902.6084285281977
1.5499999999999998,0.035,1.8000000000000003,-852.7013747723142
1.5999999999999999,0.035,1.8000000000000003,-839.8825676941989
1.65,0.035,1.8000000000000003,-1090.5074177908418
1.7,0.035,1.8000000000000003,-1005.1603619232021
1.75,0.035,1.8000000000000003,-1610.62402377527
1.7999999999999998,0.035,1.8000000000000003,-2130.4125455595404
1.4,0.04,1.8000000000000003,-1376.770343382964
1.45,0.04,1.8000000000000003,-1290.8018693346148
1.5,0.04,1.8000000000000003,-1153.8617262227579
1.5499999999999998,0.04,1.8000000000000003,-1017.0160146193796
1.5999999999999999,0.04,1.8000000000000003,-985.4837767272693
1.65,0.04,1.8000000000000003,-1025.1326177277372
1.7,0.04,1.8000000000000003,-1128.700417946879
1.75,0.04,1.8000000000000003,-1339.0167378514209
1.7999999999999998,0.04,1.8000000000000003,-1801.4268143655781
1.4,0.02,2,-873.3644479149799
1.45,0.02,2,-978.3456918631192
1.5,0.02,2,-1125.354485893613
1.5499999999999998,0.02,2,-1328.8612277063821
1.5999999999999999,0.02,2,-1637.8213426917132
1.65,0.02,2,-2180.739672207969
1.7,0.02,2,-2884.0578232192092
1.75,0.02,2,-3434.63175125146
1.7999999999999998,0.02,2,-5946.530376335873
1.4,0.025,2,-774.108390038266
1.45,0.025,2,-857.9791463168297
1.5,0.025,2,-954.0641014134285
1.5499999999999998,0.025,2,-1122.7843605399046
1.5999999999999999,0.025,2,-1585.0583404167255
1.65,0.025,2,-1957.1906601999206
1.7,0.025,2,-2250.774240613973
1.75,0.025,2,-3162.2650638275973
1.7999999999999998,0.025,2,-3858.791202440227
1.4,0.03,2,-829.2209243805846
1.45,0.03,2,-862.3311148970565
1.5,0.03,2,-864.7639394866992
1.5499999999999998,0.03,2,-976.5422243122932
1.5999999999999999,0.03,2,-1176.9669231436717
1.65,0.03,2,-1508.5449427289134
1.7,0.03,2,-1971.2580193901001
1.75,0.03,2,-2820.344452485303
1.7999999999999998,0.03,2,-3743.0996597520107
1.4,0.035,2,-996.1022969104298
1.45,0.035,2,-957.1345011487388
1.5,0.035,2,-1032.9856302165704
1.5499999999999998,0.035,2,-971.7866495075432
1.5999999999999999,0.035,2,-1148.8025304842581
1.65,0.035,2,-1350.3585977899816
1.7,0.035,2,-1909.6237605293613
1.75,0.035,2,-2697.094642225333
1.7999999999999998,0.035,2,-3720.2633677790727
1.4,0.04,2,-1281.3876560114
1.45,0.04,2,-1146.9356644122795
1.5,0.04,2,-1098.0767624817468
1.5499999999999998,0.04,2,-1113.113384535765
1.5999999999999999,0.04,2,-1106.6533098787536
1.65,0.04,2,-1277.0993767112523
1.7,0.04,2,-1888.878624959148
1.75,0.04,2,-2155.5036471247067
1.7999999999999998,0.04,2,-3551.1881400259344
